DMU;CountryYear;Country code;Country;Bank;ID;Foreign;Government;Bank code;Listed;Type;Islamic;year;ES;ES2;Cost2Inc;DepSTFund;Equity;Eq2Assets;FixAssets;GLoans;NPL2GL;LoanLP;Loans;NetFeeCom;NetIntRev;Branches;Employees;OthOpExp;OthOpInc;Overhead;PerExp;ROAA;ROAE;Assets;LnAssets;BusinessVol;EarnAssets;Funding;IntExp;NonIntExp;NonIntOpInc;OthEarnAssets;ExRate;Unit;GDPG;GDPC ;LnGDPC;GDPGC;PCDGDP;ICP;IGDPD;STMC;STMR;ETU;PAU;TRU;EXU;CSU;LDU;PCU;FSU;SQU;SCU;ETW;PAW;TRW;EXW;CSW;LDW;PCW;FSW;SQW;SCW;IIILargeAssets;VLargeAssets;HHIAssets  ;IIILargeLoans;VLargeLoans;HHILoans;IIILargeDeposits;VLargeDeposits;HHIDeposits;DomPrivOwnAssets;ForOwnAssets;GovOwnAssets;DomPrivOwnLoans;ForOwnLoans;GovOwnLoans;DomPrivOwnDeposits;ForOwnDeposits;GovOwnDeposits;BankCon;BankZsc;avelf;lat_abst;Legor;legor_uk;legor_fr;EFI;PP;CI;EconFree;PR;FC;FisF;GS;BF;LF;MF;TF;IF;FinF;LoanLossRatio;IndepYear;Indep;Religion;W-House;W-Senate
BNP Paribas El Djazaïr/2005;Algeria/2005;1;Algeria;BNP Paribas El Djazaïr;AlgeriaBNP Paribas El Djazaïr2005;1;0;8;0;CB;0;2005;0,489;0,434;0,360;268,967;55,173;0,110;6,960;207,206;0,051;8,542;207,206;5,115;10,892;;;6,687;17,688;10,286;3,599;0,015;0,140;500,495;6,216;36674,400;285,467;268,967;0,965;10,286;17,688;78,261;73,276;1,00;0,051;3111,703;8,043;0,035;0,105;0,014;0,165;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,024;0,062;0,914;0,015;0,059;0,926;0,012;0,054;0,933;0,739;30,480;0,294;0,3111111;French;0;1;5,25;3;0,23;53,2;30;26;73,9;61,8;70;55,9;80,1;54,4;50;30;0,041;1962;43;1;0,062;0,028
BNP Paribas El Djazaïr/2006;Algeria/2006;1;Algeria;BNP Paribas El Djazaïr;AlgeriaBNP Paribas El Djazaïr2006;1;0;8;0;CB;0;2006;0,423;0,363;0,399;418,793;72,098;0,088;12,515;312,619;0,045;9,592;312,619;7,287;25,266;;;13,479;22,465;19,039;5,560;0,021;0,221;815,200;6,703;59221,500;474,347;418,793;1,316;19,039;22,465;161,728;72,647;1,00;0,020;3508,909;8,163;0,005;0,113;0,023;0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,010;0,073;0,917;0,011;0,082;0,907;0,006;0,065;0,929;0,739;26,728;0,294;0,3111111;French;0;1;5,17;3;0,23;55,7;30;27;73,9;74,4;74,8;57,4;78,8;61;50;30;0,031;1962;44;1;0,062;0,028
BNP Paribas El Djazaïr/2007;Algeria/2007;1;Algeria;BNP Paribas El Djazaïr;AlgeriaBNP Paribas El Djazaïr2007;1;0;8;0;CB;0;2007;0,484;0,343;0,420;645,234;105,043;0,095;25,094;541,335;0,031;11,006;525,450;15,653;38,091;;;23,573;38,733;32,281;8,708;0,023;0,245;1105,577;7,008;204410,600;732,796;645,234;4,093;32,281;38,733;207,346;69,292;1,00;0,030;4005,224;8,295;0,014;0,120;0,037;0,073;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,009;0,069;0,922;0,010;0,105;0,885;0,005;0,064;0,931;0,739;28,617;0,294;0,3111111;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,020;1962;45;1;0,077;0,029
BNP Paribas El Djazaïr/2008;Algeria/2008;1;Algeria;BNP Paribas El Djazaïr;AlgeriaBNP Paribas El Djazaïr2008;1;0;8;0;CB;0;2008;0,421;0,332;0,455;1314,184;172,831;0,086;44,995;795,018;0,030;6,307;775,948;23,193;55,900;;;35,181;57,930;51,768;16,586;0,025;0,283;2010,975;7,606;228029,200;1363,118;1314,184;18,864;51,768;57,930;587,170;64,583;1,00;0,024;4966,572;8,510;0,008;0,122;0,049;0,146;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,084;0,909;0,008;0,117;0,875;0,003;0,075;0,922;0,739;27,069;0,294;0,3111111;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;0,008;1962;46;1;0,077;0,029
BNP Paribas El Djazaïr/2009;Algeria/2009;1;Algeria;BNP Paribas El Djazaïr;AlgeriaBNP Paribas El Djazaïr2009;1;0;8;0;CB;0;2009;0,385;0,304;0,412;1464,801;212,766;0,108;44,518;809,573;0,034;9,146;787,596;22,218;71,353;;;31,590;54,497;51,883;20,294;0,025;0,255;1963,527;7,582;142645,200;1546,881;1464,801;36,740;51,883;54,497;759,285;72,647;1,00;0,024;3951,911;8,282;0,009;0,155;0,057;-0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,098;0,896;0,007;0,123;0,870;0,002;0,092;0,906;0,739;32,452;0,294;0,3111111;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;0,011;1962;47;1;0,077;0,051
BNP Paribas El Djazaïr/2010;Algeria/2010;1;Algeria;BNP Paribas El Djazaïr;AlgeriaBNP Paribas El Djazaïr2010;1;0;8;0;CB;0;2010;0,627;0,390;0,418;1649,654;240,337;0,107;46,171;972,003;0,047;12,754;941,071;46,573;72,631;;;40,775;75,349;61,836;21,060;0,026;0,242;2242,703;7,715;166825,700;1743,183;1650,459;13,072;61,836;75,349;802,112;74,386;1,00;0,033;4566,891;8,427;0,018;0,146;0,039;0,162;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,098;0,896;0,007;0,123;0,870;0,002;0,092;0,906;0,739;32,432;0,294;0,3111111;French;0;1;4,87;3;0,23;56,9;30;32;83,5;73,4;71,2;56,4;77,2;70,7;45;30;0,013;1962;48;1;0,077;0,051
CPA/2005;Algeria/2005;1;Algeria;CPA;AlgeriaCPA2005;0;1;9;0;CB;0;2005;0,587;0,482;0,403;4997,523;450,350;0,077;66,870;;;73,694;1843,706;45,035;154,211;;;50,494;55,953;84,611;34,117;0,006;0,085;5851,823;8,675;525,400;4428,444;5054,840;62,776;84,611;55,953;2584,737;73,276;1000,00;0,051;3111,703;8,043;0,035;0,105;0,014;0,165;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,024;0,062;0,914;0,015;0,059;0,926;0,012;0,054;0,933;0,739;17,023;0,294;0,3111111;French;0;1;5,25;3;0,23;53,2;30;26;73,9;61,8;70;55,9;80,1;54,4;50;30;;1962;43;1;0,062;0,028
CPA/2006;Algeria/2006;1;Algeria;CPA;AlgeriaCPA2006;0;1;9;0;CB;0;2006;0,622;0,485;0,374;5613,475;640,085;0,095;71,579;1895,477;;6,883;1895,477;53,685;191,337;;;60,567;59,191;93,604;33,037;0,017;0,199;6716,073;8,812;602,500;5302,380;5616,229;48,178;93,604;59,191;3406,903;72,647;1000,00;0,020;3508,909;8,163;0,005;0,113;0,023;0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,010;0,073;0,917;0,011;0,082;0,907;0,006;0,065;0,929;0,739;22,959;0,294;0,3111111;French;0;1;5,17;3;0,23;55,7;30;27;73,9;74,4;74,8;57,4;78,8;61;50;30;0,004;1962;44;1;0,062;0,028
CPA/2007;Algeria/2007;1;Algeria;CPA;AlgeriaCPA2007;0;1;9;0;CB;0;2007;0,472;0,363;0,473;6348,460;861,566;0,112;301,620;2278,749;;76,487;2278,749;64,942;199,156;;;89,476;66,385;125,555;36,079;0,007;0,068;7712,245;8,951;534,400;5966,022;6351,346;47,624;125,555;66,385;3687,273;69,292;1000,00;0,030;4005,224;8,295;0,014;0,120;0,037;0,073;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,009;0,069;0,922;0,010;0,105;0,885;0,005;0,064;0,931;0,739;24,224;0,294;0,3111111;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,034;1962;45;1;0,077;0,029
CPA/2008;Algeria/2008;1;Algeria;CPA;AlgeriaCPA2008;0;1;9;0;CB;0;2008;0,769;0,414;0,329;9137,108;1108,654;0,099;320,519;3366,221;;46,452;3366,221;102,194;264,776;;;78,968;106,840;122,324;43,355;0,016;0,154;11218,157;9,325;1280,200;8804,202;9140,205;63,484;122,324;106,840;5437,980;64,583;1000,00;0,024;4966,572;8,510;0,008;0,122;0,049;0,146;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,084;0,909;0,008;0,117;0,875;0,003;0,075;0,922;0,739;23,431;0,294;0,3111111;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;0,014;1962;46;1;0,077;0,029
CPA/2009;Algeria/2009;1;Algeria;CPA;AlgeriaCPA2009;0;1;9;0;CB;0;2009;0,686;0,482;0,379;9031,292;1149,387;0,107;278,055;3684,921;;2,753;3684,921;88,097;214,736;;;75,708;97,732;118,380;42,672;0,015;0,146;10723,024;9,280;1137,600;8755,989;9031,292;53,684;118,380;97,732;5071,068;72,647;1000,00;0,024;3951,911;8,282;0,009;0,155;0,057;-0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,098;0,896;0,007;0,123;0,870;0,002;0,092;0,906;0,739;24,936;0,294;0,3111111;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;0,001;1962;47;1;0,077;0,051
CPA/2010;Algeria/2010;1;Algeria;CPA;AlgeriaCPA2010;0;1;9;0;CB;0;2010;0,611;0,571;0,378;9254,432;1230,070;0,112;241,981;4529,079;;-37,642;4529,079;84,693;201,651;;;114,269;100,825;114,269;;0,016;0,147;10952,332;9,301;1222,100;8203,158;9254,432;61,840;114,269;100,825;3674,079;74,386;1000,00;0,033;4566,891;8,427;0,018;0,146;0,039;0,162;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,098;0,896;0,007;0,123;0,870;0,002;0,092;0,906;0,739;26,213;0,294;0,3111111;French;0;1;4,87;3;0,23;56,9;30;32;83,5;73,4;71,2;56,4;77,2;70,7;45;30;-0,008;1962;48;1;0,077;0,051
Gulf Bank Algeria/2008;Algeria/2008;1;Algeria;Gulf Bank Algeria;AlgeriaGulf Bank Algeria2008;1;0;10;0;CB;0;2008;0,835;0,451;0,333;201,882;69,351;0,163;10,789;271,030;;-1,589;271,030;19,614;14,821;;;8,114;20,465;11,759;3,645;0,051;0,282;425,813;6,054;42167,70;287,812;229,431;1,915;11,759;20,465;16,782;64,58;1,00;0,024;4966,57;8,510;0,008;0,122;0,049;0,146;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,01;0,08;0,91;0,01;0,12;0,88;0,00;0,07;0,92;0,710;20,274;0,294;0,31;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;-0,006;1962;46;1;0,08;0,03
Gulf Bank Algeria/2009;Algeria/2009;1;Algeria;Gulf Bank Algeria;AlgeriaGulf Bank Algeria2009;1;0;10;0;CB;0;2009;0,711;0,266;0,388;315,101;159,090;0,250;17,501;310,658;;6,799;310,658;29,738;29,881;;;18,352;29,738;23,154;4,803;0,040;0,182;636,142;6,455;68099,40;313,450;354,503;4,040;23,154;29,738;2,792;72,65;1,00;0,024;3951,91;8,282;0,009;0,155;0,057;-0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,01;0,10;0,90;0,01;0,12;0,87;0,00;0,09;0,91;0,710;27,428;0,294;0,31;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;0,022;1962;47;1;0,08;0,05
Gulf Bank Algeria/2010;Algeria/2010;1;Algeria;Gulf Bank Algeria;AlgeriaGulf Bank Algeria2010;1;0;10;0;CB;0;2010;1,000;0,283;0,357;442,988;166,628;0,216;34,727;355,070;;3,447;355,070;40,813;21,124;;;22,094;40,813;22,094;;0,039;0,170;770,425;6,647;88835,10;356,664;517,853;5,672;22,094;40,813;1,594;74,39;1,00;0,033;4566,89;8,427;0,018;0,146;0,039;0,162;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,01;0,10;0,90;0,01;0,12;0,87;0,00;0,09;0,91;0,710;24,187;0,294;0,31;French;0;1;4,87;3;0,23;56,9;30;32;83,5;73,4;71,2;56,4;77,2;70,7;45;30;0,010;1962;48;1;0,08;0,05
Housing Bank for Trade and Finance - Algeria/2006;Algeria/2006;1;Algeria;Housing Bank for Trade and Finance - Algeria;AlgeriaHousing Bank for Trade and Finance - Algeria2006;1;0;11;0;CB;0;2006;0,313;0,257;0,712;48,390;38,160;0,327;4,649;45,809;;1,305;45,809;1,423;3,177;;;1,686;1,880;3,600;1,913;0,001;0,003;116,793;4,760;8484,60;52,724;48,390;0,384;3,600;1,880;6,914;72,65;1,00;0,020;3508,91;8,163;0,005;0,113;0,023;0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,01;0,07;0,92;0,01;0,08;0,91;0,01;0,06;0,93;0,710;30,046;0,294;0,31;French;0;1;5,17;3;0,23;55,7;30;27;73,9;74,4;74,8;57,4;78,8;61;50;30;0,028;1962;44;1;0,06;0,03
Housing Bank for Trade and Finance - Algeria/2007;Algeria/2007;1;Algeria;Housing Bank for Trade and Finance - Algeria;AlgeriaHousing Bank for Trade and Finance - Algeria2007;1;0;11;0;CB;0;2007;0,313;0,236;0,587;74,564;42,201;0,288;6,683;61,453;;1,398;61,453;2,541;4,073;;;2,440;5,106;5,384;2,944;0,012;0,039;146,332;4,986;10139,70;63,386;74,564;0,410;5,384;5,106;1,934;69,29;1,00;0,030;4005,22;8,295;0,014;0,120;0,037;0,073;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,01;0,07;0,92;0,01;0,10;0,89;0,01;0,06;0,93;0,710;27,532;0,294;0,31;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,023;1962;45;1;0,08;0,03
Housing Bank for Trade and Finance - Algeria/2008;Algeria/2008;1;Algeria;Housing Bank for Trade and Finance - Algeria;AlgeriaHousing Bank for Trade and Finance - Algeria2008;1;0;11;0;CB;0;2008;0,395;0,225;0,512;57,090;47,570;0,323;6,229;85,029;;2,775;85,029;4,221;5,272;;;4,181;10,992;8,324;4,144;0,023;0,076;147,251;4,992;9689,10;94,476;57,090;0,389;8,324;10,992;9,447;64,58;1,00;0,024;4966,57;8,510;0,008;0,122;0,049;0,146;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,01;0,08;0,91;0,01;0,12;0,88;0,00;0,07;0,92;0,710;31,753;0,294;0,31;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;0,033;1962;46;1;0,08;0,03
Housing Bank for Trade and Finance - Algeria/2009;Algeria/2009;1;Algeria;Housing Bank for Trade and Finance - Algeria;AlgeriaHousing Bank for Trade and Finance - Algeria2009;1;0;11;0;CB;0;2009;0,309;0,220;0,647;91,600;141,607;0,543;6,265;81,414;;3,649;81,414;3,772;5,828;;;8,344;7,067;8,344;;0,002;0,004;260,647;5,563;19081,80;210,869;91,600;0,480;8,344;7,067;129,455;72,65;1,00;0,024;3951,91;8,282;0,009;0,155;0,057;-0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,01;0,10;0,90;0,01;0,12;0,87;0,00;0,09;0,91;0,710;49,983;0,294;0,31;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;0,045;1962;47;1;0,08;0,05
Housing Bank for Trade and Finance - Algeria/2010;Algeria/2010;1;Algeria;Housing Bank for Trade and Finance - Algeria;AlgeriaHousing Bank for Trade and Finance - Algeria2010;1;0;11;0;CB;0;2010;0,388;0,228;0,436;149,952;146,062;0,435;7,086;84,864;;2,910;84,864;7,112;6,864;;;8,180;11,891;8,180;;0,023;0,049;335,772;5,816;25171,00;281,315;149,952;0,695;8,180;11,891;196,451;74,39;1,00;0,033;4566,89;8,427;0,018;0,146;0,039;0,162;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,01;0,10;0,90;0,01;0,12;0,87;0,00;0,09;0,91;0,710;42,016;0,294;0,31;French;0;1;4,87;3;0,23;56,9;30;32;83,5;73,4;71,2;56,4;77,2;70,7;45;30;0,034;1962;48;1;0,08;0,05
Natixis Algerie/2009;Algeria/2009;1;Algeria;Natixis Algerie;AlgeriaNatixis Algerie2009;1;0;12;0;CB;0;2009;0,507;0,333;0,589;351,615;161,122;0,233;37,642;428,073;;2,398;428,073;17,818;27,581;;;26,740;17,819;26,740;;0,018;0,096;690,684;6,538;86778,40;432,331;446,449;2,770;26,740;17,819;4,258;72,65;1,00;0,024;3951,91;8,282;0,009;0,155;0,057;-0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,01;0,10;0,90;0,01;0,12;0,87;0,00;0,09;0,91;0,711;33,191;0,294;0,31;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;0,006;1962;47;1;0,08;0,05
Natixis Algerie/2010;Algeria/2010;1;Algeria;Natixis Algerie;AlgeriaNatixis Algerie2010;1;0;12;0;CB;0;2010;0,680;0,347;0,492;376,289;178,729;0,243;38,312;493,582;;6,395;493,582;25,276;36,199;;;30,230;25,276;30,230;;0,025;0,106;735,907;6,601;96696,00;496,142;480,757;2,923;30,230;25,276;2,560;74,39;1,00;0,033;4566,89;8,427;0,018;0,146;0,039;0,162;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,01;0,10;0,90;0,01;0,12;0,87;0,00;0,09;0,91;0,711;35,393;0,294;0,31;French;0;1;4,87;3;0,23;56,9;30;32;83,5;73,4;71,2;56,4;77,2;70,7;45;30;0,013;1962;48;1;0,08;0,05
Société Générale Algérie/2005;Algeria/2005;1;Algeria;Société Générale Algérie;AlgeriaSociété Générale Algérie2005;1;0;13;0;CB;0;2005;0,486;0,243;0,577;375,364;43,542;0,084;6,376;240,293;;5,150;240,293;9,954;19,806;;;12,875;9,954;17,165;4,291;0,017;0,202;520,411;6,255;67094,30;323,888;375,364;9,018;17,165;9,954;83,595;73,28;1,00;0,051;3111,70;8,043;0,035;0,105;0,014;0,165;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,02;0,06;0,91;0,01;0,06;0,93;0,01;0,05;0,93;0,711;24,997;0,294;0,31;French;0;1;5,25;3;0,23;53,2;30;26;73,9;61,8;70;55,9;80,1;54,4;50;30;0,021;1962;43;1;0,06;0,03
Société Générale Algérie/2006;Algeria/2006;1;Algeria;Société Générale Algérie;AlgeriaSociété Générale Algérie2006;1;0;13;0;CB;0;2006;0,506;0,333;0,637;651,425;49,331;0,055;15,189;466,601;;12,763;466,601;15,357;37,541;;;25,398;15,357;33,682;8,284;0,012;0,187;890,603;6,792;103886,70;552,213;651,425;13,354;33,682;15,357;85,612;72,65;1,00;0,020;3508,91;8,163;0,005;0,113;0,023;0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,01;0,07;0,92;0,01;0,08;0,91;0,01;0,06;0,93;0,711;16,831;0,294;0,31;French;0;1;5,17;3;0,23;55,7;30;27;73,9;74,4;74,8;57,4;78,8;61;50;30;0,027;1962;44;1;0,06;0,03
Société Générale Algérie/2007;Algeria/2007;1;Algeria;Société Générale Algérie;AlgeriaSociété Générale Algérie2007;1;0;13;0;CB;0;2007;0,567;0,455;0,659;895,255;64,408;0,053;22,226;794,247;;20,096;794,247;21,474;66,850;;;42,485;21,474;58,227;15,742;0,012;0,219;1226,603;7,112;158151,10;888,575;895,255;22,057;58,227;21,474;94,328;69,29;1,00;0,030;4005,22;8,295;0,014;0,120;0,037;0,073;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,01;0,07;0,92;0,01;0,10;0,89;0,01;0,06;0,93;0,711;15,971;0,294;0,31;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,025;1962;45;1;0,08;0,03
Société Générale Algérie/2008;Algeria/2008;1;Algeria;Société Générale Algérie;AlgeriaSociété Générale Algérie2008;1;0;13;0;CB;0;2008;0,729;0,674;0,550;1174,409;122,271;0,072;28,024;1338,668;;41,663;1323,044;37,351;109,209;;;65,923;52,980;89,240;23,317;0,015;0,231;1693,984;7,435;164102,00;1412,062;1268,985;36,677;89,240;52,980;89,018;64,58;1,00;0,024;4966,57;8,510;0,008;0,122;0,049;0,146;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,01;0,08;0,91;0,01;0,12;0,88;0,00;0,07;0,92;0,711;21,601;0,294;0,31;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;0,031;1962;46;1;0,08;0,03
Société Générale Algérie/2009;Algeria/2009;1;Algeria;Société Générale Algérie;AlgeriaSociété Générale Algérie2009;1;0;13;0;CB;0;2009;0,788;0,608;0,473;1472,319;282,777;0,132;32,268;1231,625;;23,774;1199,182;38,804;91,356;;;45,583;55,219;69,277;23,694;0,020;0,182;2136,090;7,667;265064,40;1404,007;1574,024;9,812;69,277;55,219;204,825;72,65;1,00;0,024;3951,91;8,282;0,009;0,155;0,057;-0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,01;0,10;0,90;0,01;0,12;0,87;0,00;0,09;0,91;0,711;37,781;0,294;0,31;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;0,019;1962;47;1;0,08;0,05
Société Générale Algérie/2010;Algeria/2010;1;Algeria;Société Générale Algérie;AlgeriaSociété Générale Algérie2010;1;0;13;0;CB;0;2010;1,000;0,739;0,495;1473,477;293,733;0,138;27,053;1448,261;;15,409;1409,270;53,450;93,371;;;52,374;67,882;79,873;27,498;0,022;0,161;2127,090;7,663;272422,70;1565,134;1585,299;12,240;79,873;67,882;155,864;74,39;1,00;0,033;4566,89;8,427;0,018;0,146;0,039;0,162;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,01;0,10;0,90;0,01;0,12;0,87;0,00;0,09;0,91;0,711;39,758;0,294;0,31;French;0;1;4,87;3;0,23;56,9;30;32;83,5;73,4;71,2;56,4;77,2;70,7;45;30;0,011;1962;48;1;0,08;0,05
Trust Bank Algeria/2005;Algeria/2005;1;Algeria;Trust Bank Algeria;AlgeriaTrust Bank Algeria2005;0;0;14;0;CB;0;2005;0,670;0,508;0,216;67,554;21,575;0,202;1,876;47,145;0,019;1,323;47,145;2,752;4,644;;;1,077;2,752;1,597;0,520;0,053;0,265;106,712;4,670;15243,77;50,480;67,554;0,480;1,597;2,752;3,335;73,28;1,00;0,051;3111,70;8,043;0,035;0,105;0,014;0,165;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,02;0,06;0,91;0,01;0,06;0,93;0,01;0,05;0,93;0,711;10,823;0,294;0,31;French;0;1;5,25;3;0,23;53,2;30;26;73,9;61,8;70;55,9;80,1;54,4;50;30;0,028;1962;43;1;0,06;0,03
Trust Bank Algeria/2006;Algeria/2006;1;Algeria;Trust Bank Algeria;AlgeriaTrust Bank Algeria2006;0;0;14;0;CB;0;2006;1,000;0,611;0,250;100,372;44,845;0,266;1,958;99,664;;9,269;99,664;9,161;4,867;;;2,008;9,161;3,510;1,502;0,003;0,012;168,855;5,129;22680,41;103,590;100,372;0,415;3,510;9,161;3,926;72,65;1,00;0,020;3508,91;8,163;0,005;0,113;0,023;0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,01;0,07;0,92;0,01;0,08;0,91;0,01;0,06;0,93;0,711;11,399;0,294;0,31;French;0;1;5,17;3;0,23;55,7;30;27;73,9;74,4;74,8;57,4;78,8;61;50;30;0,093;1962;44;1;0,06;0,03
